idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
11,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C:2][C:3]([H:10])([H:11])[C:4]1([C:5]([C:6]([H:9])([H:15])[H:16])([H:13])[H:14])[H:12],"InChI=1S/C6H10/c1-2-6-3-5(1)4-6/h5-6H,1-4H2/t5-,6+","InChI=1S/C6H10/c1-2-6-4-3-5-6/h6H,2,4-5H2,1H3",83.7696,78.67993,
12,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3]([H:9])[c:4]([H:8])[n:5][n:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",60.50253000000001,7.41321,
13,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N+:5]([N-:6][H:9])[C:4]([H:8])=[N:3]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-5-1-4-2(5)6/h1,3H,(H,4,6)",115.89412,107.31071999999999,
14,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C@@:2]1([H:9])[N:3]=[C:4]([H:8])[N:5]=[N:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1-2,6H/t2-/m0/s1",60.50948,42.16648,
15,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([c:2]1[n:3][c:4]([H:8])[n:5]([H:9])[n:6]1)[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",49.75781,1.1839,
16,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N:3]=[C:4]=[N:5][H:8])=[N:6][H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-1-5-2(4)6/h3H,(H2,4,6)",77.76216,5.86956,
17,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]=[c:2]1[n:3]([H:7])[c:4]([H:8])[n:5][n:6]1[H:9],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",43.17672,-5.72042,ketoenol
18,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]1=[N:3][C@@:4]1(/[N:5]=[N:6]/[H:9])[H:8])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-5-1-2(6)4-1/h1,3H,(H,4,6)/b5-3+/t1-/m1/s1",113.19787,73.60699,
19,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1]([C:2]([N+:3]#[C:4][H:8])[N:6]([N-:5])[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H2N3O/c1-4-2(6)5-3/h1H,(H,5,6)/q-1/p+1",122.49667,117.01266000000001,
20,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[C:4](#[N+:5][N-:6][H:9])[H:8].[O:1]([C:2]#[N:3])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)",InChI=1S/CH2N2.CHNO/c1-3-2;2-1-3/h1-2H;3H,101.82925,86.05471999999999,
22,[O:1]([c:2]1=[n:3][c:4]([H:8])[n:5][n:6]1[H:9])[H:7],[O:1](/[C:2]([N:3]1[C:4]([H:8])=[N:5]1)=[N:6]\[H:9])[H:7],"InChI=1S/C2H3N3O/c6-2-3-1-4-5-2/h1H,(H2,3,4,5,6)","InChI=1S/C2H3N3O/c3-2(6)5-1-4-5/h1H,(H2,3,6)",97.52797,69.71840999999999,
23,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:2]1([H:8])=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10].[O:1]([H:7])[H:15],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8.H2O/c1-2-4-5-3-1;/h1-2H,3-5H2;1H2",63.9273,10.42021,"1,3_Insertion_ROR"
24,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:5](=[C:6]([H:15])[H:16])([H:13])[H:14].[O:1]([C:2]([C:3](=[C:4]([H:11])[H:12])[H:10])([H:8])[H:9])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C3H6O.C2H4/c1-2-3-4;1-2/h2,4H,1,3H2;1-2H2",114.09088,41.27805,
25,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:7][H:12].[O:1]=[C:2]([C:6]([C:5]([C:4](=[C:3]([H:9])[H:10])[H:11])([H:13])[H:14])([H:15])[H:16])[H:8],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c1-2-3-4-5-6;/h2,5H,1,3-4H2;1H",90.67834,34.41599,
26,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12].[O:1]([C:2](=[C:3]([H:9])[H:10])[C:6]([H:8])([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C3H6O.C2H4/c1-3(2)4;1-2/h4H,1H2,2H3;1-2H2",111.2535,29.31387,
27,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C@:2]12([H:8])[C:3]([H:9])([H:10])[C@@:4]1([H:11])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16].[O:1]([H:7])[H:12],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8.H2O/c1-2-5-3-4(1)5;/h4-5H,1-3H2;1H2/t4-,5+;",99.24410999999999,37.78614,
28,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:3](=[C:4]([H:11])[H:12])([H:9])[H:10].[O:1](/[C:2](=[C:6](\[C:5]([H:13])([H:14])[H:15])[H:16])[H:8])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C3H6O.C2H4/c1-2-3-4;1-2/h2-4H,1H3;1-2H2/b3-2-;",114.11493999999999,34.4996,
29,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:10][H:14].[O:1]([C@:2]1([H:8])[C:3]([H:9])=[C:4]([H:11])[C:5]([H:12])([H:13])[C:6]1([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-5-3-1-2-4-5;/h1,3,5-6H,2,4H2;1H/t5-;/m1./s1",114.07555,28.256709999999998,
30,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:2]1([C:6]([C:5]([H:8])([H:13])[H:14])([H:15])[H:16])[C:3]([H:9])([H:10])[C:4]1([H:11])[H:12])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-5(6)3-4-5/h6H,2-4H2,1H3",125.27842,20.38128,
31,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:8][H:15].[O:1]([C:2]1=[C:6]([H:16])[C:5]([H:13])([H:14])[C:4]([H:11])([H:12])[C:3]1([H:9])[H:10])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-5-3-1-2-4-5;/h3,6H,1-2,4H2;1H",123.0848,23.721410000000002,
32,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]=[C:2]([C:6]([C:5]([C:4]([C:3]([H:7])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:8],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3",77.99404,4.081919999999999,
33,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:7][H:9].[O:1]=[C:2]([C:3]1([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:8],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-4-5-2-1-3-5;/h4-5H,1-3H2;1H",105.80298,36.84059,
34,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[H:11][H:13].[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:12])=[C:5]([H:14])[C:6]1([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H8O.H2/c6-5-3-1-2-4-5;/h1-2,5-6H,3-4H2;1H",119.29682,27.8675,
35,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:6]([C:5]([C:4]([C:3]([C:2][H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])([H:15])[H:16])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-3-4-5-6/h1,6H,2-5H2",118.42358,96.2675,
36,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C@:2]1([H:8])[C:3]([H:9])([H:10])[C@@:4]1([C:5]([C:6]([H:12])([H:15])[H:16])([H:13])[H:14])[H:11])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-4-3-5(4)6/h4-6H,2-3H2,1H3/t4-,5+/m0/s1",125.45361000000001,22.825689999999998,
37,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16].[O:1]([C:2][H:8])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",InChI=1S/C4H8.CH2O/c1-2-4-3-1;1-2/h1-4H2;1-2H,140.80727,95.42782,
38,[O:1]([C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]1([H:15])[H:16])[H:7],[O:1]([C:4]([C:5]([C:6]([C:2](=[C:3]([H:9])[H:10])[H:8])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])[H:7],"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c1-2-3-4-5-6/h2,6H,1,3-5H2",110.22928,17.62999,
39,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([O:6]/[C:5](=[N:4]\[H:11])[H:12])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C2H5NO.CHN/c1-4-2-3;1-2/h2-3H,1H3;1H/b3-2-;",117.85243999999999,29.51482,
40,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N+:4](=[C-:5][O:6][H:12])[H:11])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2,5-6H,1H3/b4-2+",72.89657,35.65031,
41,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N+:2](=[C-:3][N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h3-4H,1H3,(H,5,6)",70.74973,24.67833,
42,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](\[O:6]/[C:5](=[N:4]/[H:11])[H:12])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-5-3-6-2-4/h2-4H,1H3/b4-2+,5-3-",53.99448,19.06468,ketoenol
43,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C-:5]#[O+:6].[C:1]([N:2](/[C:3](=[N:4]/[H:11])[H:10])[H:12])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C2H6N2.CO/c1-4-2-3;1-2/h2H,1H3,(H2,3,4);",44.26566,9.9785,
44,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])([H:8])[H:9].[N:2]#[C:3][H:10],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C2H5NO.CHN/c1-3-2-4;1-2/h2H,1H3,(H,3,4);1H",106.00344,11.064969999999999,
45,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2]1[C@:3]2([H:10])[N:4]([H:11])[C@:5]2([H:12])[O:6]1)([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-5-2-3(4-2)6-5/h2-4H,1H3/t2-,3+/m0/s1",122.88391999999999,92.1776,
46,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C-:1]([N+:2](=[C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])[H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-4H,1H2,(H,5,6)",79.05020999999999,44.3368,
47,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][C:3]([N:4]([C:5](=[O:6])[H:12])[H:11])([H:7])[H:10])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h3H,1-2H2,(H,5,6)",81.96947,12.1507,
48,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1]([N:2](/[C:3](=[N:4]/[C:5](=[O:6])[H:12])[H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)",44.2551,4.36875,
49,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](/[N:2]=[C:3](/[N:4]=[C:5](/[O:6][H:11])[H:12])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)",46.77138,13.81979,ketoenol
50,[C:1](/[N:2]=[C:3](/[N:4]([C:5](=[O:6])[H:12])[H:11])[H:10])([H:7])([H:8])[H:9],[C:1](=[N:2][C@:3]1([H:10])[N:4]([H:11])[C@@:5]1([O:6][H:7])[H:12])([H:8])[H:9],"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)","InChI=1S/C3H6N2O/c1-4-2-3(6)5-2/h2-3,5-6H,1H2/t2-,3-/m1/s1",88.94986,40.15461,
51,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C4H7NO/c1-3-5-4-6-2/h1,4H2,2H3",79.49615,26.89508,
52,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][H:12])([H:7])([H:8])[H:9].[C:3](=[C:4]([C:5]#[N:6])[H:13])([H:10])[H:11],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C3H3N.CH4O/c1-2-3-4;1-2/h2H,1H2;2H,1H3",59.222640000000006,15.71096,"1,3_Insertion_ROR"
53,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3]([C:4]([N+:6]#[C-:5])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C4H7NO/c1-5-3-4-6-2/h3-4H2,2H3",60.515159999999995,23.2551,
54,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([N:6]=[C:5]=[C:4]([H:12])[H:13])([H:7])([H:8])[H:9].[O:2]=[C:3]([H:10])[H:11],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C3H5N.CH2O/c1-3-4-2;1-2/h1H2,2H3;1H2",95.38943,35.66055,
55,[C:1]([O:2][C:3]([C:4]([C:5]#[N:6])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([O:2][C:3](=[C:4]([H:12])[H:13])[H:11])([H:7])([H:8])[H:9].[C:5](#[N:6])[H:10],"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3","InChI=1S/C3H6O.CHN/c1-3-4-2;1-2/h3H,1H2,2H3;1H",98.14416,25.508770000000002,
56,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C@@:3]1([H:10])[C:4]([H:9])([H:11])[O:5]1)([H:6])([H:7])[H:8],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H6O2/c1-4-3-2-5-3/h3H,2H2,1H3/t3-/m1/s1",66.00755,14.6645,
57,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[O+:2][C:3](=[C:4]([O-:5])[H:11])[H:10])([H:6])[H:8].[H:7][H:9],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H4O2.H2/c1-5-3-2-4;/h2-3H,1H2;1H",78.09619,71.28694,
58,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3]([O+:5]=[C-:4][H:11])([H:9])[H:10])([H:6])([H:7])[H:8],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H6O2/c1-4-3-5-2/h1H,3H2,2H3",103.11113,58.74233,
59,[C:1]([O:2][C:3]([C:4](=[O:5])[H:11])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][O:5][C:4](=[C:3]([H:9])[H:10])[H:11])([H:6])([H:7])[H:8],"InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3","InChI=1S/C3H6O2/c1-3-5-4-2/h3H,1H2,2H3",101.92902,58.63021,ketoenol
