solute_inchi,solute_smiles,solute_name,solvent_inchi,solvent_smiles,solvent_name,temperature,temperature_units,solubility reported in paper,std reported in paper,units reported in paper,source,solvent_density [kg/m3],warning_density,experimental_logS [mol/L],logS_warning
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,298.15,K,0.0955,0.0002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,902,,0.034059994637913,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,2-propanol,303.15,K,0.1548,0.0002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,777,,0.374665129233712,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",CC1=CC=CC=C1,toluene,273.15,K,0.006,0.0003,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,885.42,,-1.23616904348388,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,293.15,K,0.0249,0.0003,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,783.97,,-0.311615353677783,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,298.15,K,0.1391,0.0003,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,784.9,,0.440035845918325,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/CH4O/c1-2/h2H,1H3",CO,methanol,303.15,K,0.192,0.0003,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,783.04,,0.764168204167601,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",CC1=CC=CC=C1,toluene,298.15,K,0.0254,0.0004,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,864.66,,-0.611230558996677,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C2H3N/c1-2-3/h1H3,CC#N,acetonitrile,303.15,K,0.0432,0.0004,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,771.92,,-0.070830114725695,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,283.15,K,0.0634,0.0004,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,797.8,,0.069276231070328,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",CC1=CC=CC=C1,toluene,283.15,K,0.0107,0.0005,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,876.17,,-0.98743908964124,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butanol,288.15,K,0.0612,0.0005,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,813.64,,-0.145050268888196,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,303.15,K,0.1693,0.0006,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,780.6,,0.538488389249764,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,2-propanol,273.15,K,0.023,0.0007,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,803.91,,-0.501526654261669,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,2-propanol,288.15,K,0.0618,0.0007,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,790.65,,-0.061890035785486,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/CH4O/c1-2/h2H,1H3",CO,methanol,283.15,K,0.0739,0.0007,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,801.4,,0.300330280856691,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butanol,273.15,K,0.03,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,825.06,,-0.462825848333396,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",CC1=CC=CC=C1,toluene,303.15,K,0.034,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,857.57,,-0.484311866627474,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,2-propanol,278.15,K,0.037,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,799.54,,-0.291151724748331,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,273.15,K,0.04,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,806.2,,-0.136921353233738,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/CH4O/c1-2/h2H,1H3",CO,methanol,273.15,K,0.044,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,810.2,,0.066081411624599,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,283.15,K,0.055,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,911.86,,-0.219882297108705,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,288.15,K,0.066,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,906.1,,-0.138368153575321,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butanol,293.15,K,0.082,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,809.75,,-0.010338773376787,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,293.15,K,0.109,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,789.2,,0.321582965144738,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,2-propanol,298.15,K,0.12,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,783.5,,0.250170217168264,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/CH4O/c1-2/h2H,1H3",CO,methanol,293.15,K,0.129,0.001,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,792.1,,0.563845957148354,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butanol,278.15,K,0.042,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,821.29,,-0.313280585017926,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3",CC(C)O,2-propanol,283.15,K,0.044,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,795.12,,-0.215139895730147,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,273.15,K,0.045,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,923.23,,-0.306222292829015,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butanol,283.15,K,0.048,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,817.49,,-0.254574163421259,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,278.15,K,0.05,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,917.57,,-0.260855738400649,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/CH4O/c1-2/h2H,1H3",CO,methanol,278.15,K,0.059,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,805.22,,0.197671330109434,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,303.15,K,0.112,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,888.49,,0.104716257762051,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,C1COCCO1,"1,4-dioxane",273.15,K,0.176,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,1059.08,Extrapolation using 11 values from 288.71 K to 322.04 K,0.409772879586309,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,C1COCCO1,"1,4-dioxane",288.15,K,0.221,0.002,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,1040.91,Extrapolation using 14 values from 288.71 K to 338.71 K,0.52552665353461,"Mole fraction solubility higher than 0.2, conversion to logS is not ok"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3",CCO,ethanol,278.15,K,0.056,0.003,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,802,,0.014237495653131,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",CCOC(=O)C,ethyl acetate,293.15,K,0.08,0.003,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,900.29,,-0.051056757414111,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/CH4O/c1-2/h2H,1H3",CO,methanol,288.15,K,0.1,0.004,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,796.49,,0.441432206694671,Converted from mole fraction
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butanol,303.15,K,0.134,0.004,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,801.84,,0.224013722455722,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,C1COCCO1,"1,4-dioxane",283.15,K,0.204,0.004,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,1046.97,Extrapolation using 13 values from 288.71 K to 333.15 K,0.483909993928883,"Mole fraction solubility higher than 0.2, conversion to logS is not ok"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,C1COCCO1,"1,4-dioxane",293.15,K,0.248,0.004,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,1034.86,,0.588374097614797,"Mole fraction solubility higher than 0.2, conversion to logS is not ok"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",CCCCO,butanol,298.15,K,0.111,0.005,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,810,,0.135245335453617,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,C1COCCO1,"1,4-dioxane",278.15,K,0.19,0.005,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,1053.02,Extrapolation using 12 values from 288.71 K to 327.59 K,0.447963858597497,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
"InChI=1/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19)/f/h18H",CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,Ketoprofen,"InChI=1/CH4O/c1-2/h2H,1H3",CO,methanol,298.15,K,0.168,0.007,mole fraction,doi:10.1016/j.ijpharm.2020.119686 ,792,,0.698405525591575,"Mole fraction solubility between 0.1 and 0.2, conversion to logS can be done better"
